2021-04-26 07:46:31,,2021-04-26 07:46:00,2021-04-26 18:00:00,0,공사 ,분당수서간도시고속화도로 벌말지하차도 벌말지하차도 1차로 주의운전 도로공사 -,127.116876174181,37.4045233394229
2021-04-26 07:46:31,1536,2021-04-26 07:40:02,2021-04-26 08:10:00,1,사고 ,일반국도48호선 사직삼거리 사직주유소 1차로 주의운전 교통사고 -,126.967572799722,37.5747298
2021-04-26 07:46:32,,2021-04-26 07:46:00,2021-04-26 08:16:00,1,사고 ,일반국도48호선 사직삼거리 사직주유소 1차로 주의운전 교통사고 -,126.967536499722,37.5747271997222
2021-04-26 07:47:01,1547,2021-04-26 07:39:02,2021-04-26 18:00:00,0,공사 ,국가지원지방도57호선 안양판교로26 동안구관양동1866 1차로 주의운전 도로공사 -,126.9766895,37.3996386
2021-04-26 07:48:03,,2021-04-26 07:47:00,2021-04-26 18:00:00,0,공사 ,대야로 율진교차로 금양리 1차로 주의운전 도로공사 -,128.185514,35.597032
2021-04-26 07:48:04,,2021-04-26 07:47:00,2021-04-26 18:00:00,0,공사 ,갑천도시고속도로 문예지하차도 문예지하차도 2차로 인도보수공사 중 주의운전 도로공사 -,127.380393972222,36.3712349722222
2021-04-26 07:48:51,,2021-04-26 07:48:00,2021-04-26 08:18:00,1,사고 ,일반국도19호선 장수로교차로 번암 1차로 주의운전 차량고장 -,127.5237283,35.6569986
2021-04-26 07:48:56,,2021-04-26 07:47:00,2021-04-26 08:17:00,1,사고 ,올림픽대로 천호대교 암사대교 1차로 승용차 관련. 후미 지체 교통사고 서울청,127.130365594127,37.562650120851
2021-04-26 07:49:56,,2021-04-26 07:45:27,2021-04-26 10:51:50,0,공사 ,서해안선(0150) (갓길)비탈면정비이동작업중 [고속도로]서해안선(0150) (갓길)비탈면정비이동작업중,126.6008,36.1691
2021-04-26 07:49:56,,2021-04-26 07:45:29,2021-04-26 10:51:50,0,공사 ,서해안선(0150) (갓길)음력완화장치작업중 [고속도로]서해안선(0150) (갓길)음력완화장치작업중,126.5605,36.5913
2021-04-26 07:49:56,,2021-04-26 07:46:07,2021-04-26 10:51:50,0,공사 ,서해안선(0150) (1차로)노면보수작업중 [고속도로]서해안선(0150) (1차로)노면보수작업중,126.5602,36.2426
2021-04-26 07:50:16,,2021-04-26 07:50:00,2021-04-26 18:00:00,0,공사 ,한밭대로 대전업무상질병판정위원회 베르사유웨딩 1차로 주의운전 도로공사 -,127.3886036,36.3580705
2021-04-26 07:50:30,1575,2021-04-26 07:47:02,2021-04-26 08:17:00,1,사고 ,올림픽대로 천호대교 암사대교 1차로 승용차 관련. 후미 지체 교통사고 서울청,127.130365594127,37.562650120851
2021-04-26 07:50:35,,2021-04-26 07:50:00,2021-04-26 08:20:00,1,사고 ,계족로 버블빈커피 가양교 1차로 주의운전 교통사고 -,127.437920262709,36.3379898968424
2021-04-26 07:51:00,1579,2021-04-26 07:48:02,2021-04-26 08:18:00,1,사고 ,일반국도19호선 장수로교차로 번암 1차로 주의운전 차량고장 -,127.5237283,35.6569986
2021-04-26 07:51:30,1610,2021-04-26 07:47:02,2021-04-26 18:00:00,0,공사 ,갑천도시고속도로 문예지하차도 문예지하차도 2차로 인도보수공사 중 주의운전 도로공사 -,127.380393972222,36.3712349722222
2021-04-26 07:52:00,1619,2021-04-26 07:47:02,2021-04-26 18:00:00,0,공사 ,대야로 율진교차로 금양리 1차로 주의운전 도로공사 -,128.185514,35.597032
2021-04-26 07:52:30,1636,2021-04-26 07:46:02,2021-04-26 08:16:00,1,사고 ,일반국도48호선 사직삼거리 사직주유소 1차로 주의운전 교통사고 -,126.967536499722,37.5747271997222
2021-04-26 07:52:33,,2021-04-26 07:52:00,2021-04-26 18:00:00,0,공사 ,서해안고속도로 마서송내교차로 장항볼링장 1차로 주의운전 도로공사 -,126.6909175,36.0843195
2021-04-26 07:53:00,1639,2021-04-26 07:46:02,2021-04-26 18:00:00,0,공사 ,분당수서간도시고속화도로 벌말지하차도 벌말지하차도 1차로 주의운전 도로공사 -,127.116876174181,37.4045233394229
2021-04-26 07:53:29,,2021-04-26 07:53:00,2021-04-26 18:00:00,0,공사 ,용암로 송학사거리 봉덕삼거리 1차로 로 인한 차선변경 도로공사 -,126.739970499722,35.7232922997222
2021-04-26 07:53:30,1640,2021-04-26 07:46:02,2021-04-26 08:16:00,1,사고 ,서울양양고속도로 미사IC서측 미사IC동측 3차로 0km(미사IC방향) 주의운전 차량고장 -,127.186474223088,37.58036881943
2021-04-26 07:53:39,,2021-04-26 07:53:00,2021-04-26 18:00:00,0,공사 ,도안동로 도안동1493 도안계룡리슈빌 3차로 주의운전 도로공사 -,127.3472376,36.3185238
2021-04-26 07:54:00,1645,2021-04-26 07:44:02,2021-04-26 18:14:00,2,통제 ,대전로 읍내삼거리 회덕파출소  3차로 하수관로 매설공사로 후미 지,정체 공사 -,127.423849380556,36.3803129138889
2021-04-26 07:54:30,1648,2021-04-26 07:45:02,2021-04-26 18:00:00,1,사고 ,종로1길 경복궁사거리 정부합동민원실 1차로 주의운전 교통사고 -,126.9789533,37.5754363
2021-04-26 07:54:56,,2021-04-26 07:48:29,2021-04-26 10:56:50,0,공사 ,익산장수선(0201) (1차로)차선도색작업중 [고속도로]익산장수선(0201) (1차로)차선도색작업중,127.3428,35.7767
2021-04-26 07:54:57,,2021-04-26 07:49:23,2021-04-26 10:56:50,0,공사 ,중앙선(0550) (2차로)노면보수작업중 [고속도로]중앙선(0550) (2차로)노면보수작업중,127.7944,37.7535
